line : 126 [-6, -8, 0, -16, 8, 16, -64, -192, [-6, 4], (7*L+18)*(475*L+24)*(108258181*L^2-261912162*L+40052016), false]
line : 127 [-6, -8, 0, -16, 8, 16, -64, -192, [-6, 4], (7*L+18)*(475*L+24)*(108258181*L^2-261912162*L+40052016), false]
line : 128 [-8, 0, -16, -4, 16, -64, -192, 3, [-16, 4], 1, false]
line : 129 [-8, 0, -16, -4, 16, -64, -192, 3, [-16, 4], 1, false]
line : 130 [-16, -4, -6, -8, -192, 3, 8, 16, [128, 256], (19*L-72)*(81*L+22)*(351096341*L^2-137957466*L+13552304), false]
line : 131 [-4, -6, -8, 0, 3, 8, 16, -64, [384, 1024], (6052175*L^2-2937594*L+365904)*(472255501*L^2-1203542142*L+391674096), false]
line : 132 [-4, -6, -8, 0, 3, 8, 16, -64, [384, 1024], (6052175*L^2-2937594*L+365904)*(472255501*L^2-1203542142*L+391674096), false]
line : 133 [-6, -12, -16, -32, 8, 20, -192, -320, [-6, 4], (1878646*L^2-3356859*L-427248)*(210273098*L^2+152884587*L-4798224), false]
line : 134 [-12, -16, -32, -4, 20, -192, -320, 3, [-16, 4], 1, false]
line : 135 [-16, -32, -4, -6, -192, -320, 3, 8, [-40, 64], (11057608072*L^2-3755288405*L-311922000)*(230509039992*L^2-4808960155*L-1306702000), false]
line : 136 [-32, -4, -6, -12, -320, 3, 8, 20, [384, 1024], (2597*L-1200)*(450776*L+147807)*(2497301560*L^2-1032161433*L+113282928), false]
line : 137 [-4, -6, -12, -16, 3, 8, 20, -192, [640, 2304], (72920593566*L^2+3601578465*L-1450334000)*(252783805446*L^2-93919481235*L+7981306000), false]
line : 138 [-6, -10, -16, 32, 8, 21, -192, -1344, [-6, 4], (5345780*L^2-12577059*L-1472976)*(186254812*L^2+60151491*L+32977872), false]
line : 139 [-10, -16, 32, -4, 21, -192, -1344, 3, [-16, 4], 1, false]
line : 140 [-16, 32, -4, -6, -192, -1344, 3, 8, [-42, 16], (935217780262*L^2-659743827687*L-90436307472)*(943990340338*L^2-959752255413*L-69509806128), false]
line : 141 [32, -4, -6, -10, -1344, 3, 8, 21, [384, 1024], (983804698*L^2+42025899*L-209330352)*(9232088450*L^2-3899749977*L+435794832), false]
line : 142 [-4, -6, -10, -16, 3, 8, 21, -192, [2688, 6400], (2430830515300*L^2+2885502039273*L-1419847671312)*(2610416665300*L^2-386885913183*L-237387781008), false]
line : 143 [-6, -11, -18, -25, 8, 28, 56, -84, [-6, 4], (29085169625528305*L^4+36485292657938016*L^3+9735926620393728*L^2-1136573637525504*L+199593681223680), false]
line : 144 [-11, -18, -25, -4, 28, 56, -84, 3, [-16, 4], (1334425*L^2+1323784*L+345744)*(1651352877*L^2+873094906*L+115840717), false]
line : 145 [-18, -25, -4, -6, 56, -84, 3, 8, [-56, 9], (13169724353381673786600*L^4+56396149551372708180936*L^3+67427840186232974264565*L^2+7891084920375298048512*L+325952531272437235712), false]
line : 146 [-25, -4, -6, -11, -84, 3, 8, 28, [-112, 100], (2548150149162376845601875*L^4+1694743982738466015195000*L^3+399847535432846569551728*L^2+10515184670818242173696*L+240019877227433683968), false]
line : 147 [-4, -6, -11, -18, 3, 8, 28, 56, [168, 961], (14516726337660849150388769658916*L^4-3739074294426823822656317701332*L^3+364540296113154058543613454249*L^2-15955651395148718564299070208*L+264721119069329247444811776), false]
